"TIME","GEO","UNIT","PURPOSE","DURATION","PARTNER","ACCOMMOD","EXPEND","Value"
"2013","Bulgaria","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","88.97"
"2013","Bulgaria","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","11.59"
"2013","Bulgaria","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","36.63"
"2013","Bulgaria","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","9.28"
"2013","Bulgaria","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","174.65"
"2013","Bulgaria","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","23.14"
"2013","Czechia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","12.29"
"2013","Czechia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","3.36"
"2013","Czechia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","104.3"
"2013","Czechia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","14.66"
"2013","Czechia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","35.96"
"2013","Czechia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","17.34"
"2013","Czechia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","150.7"
"2013","Czechia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","38.42"
"2013","Denmark","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","61.7"
"2013","Denmark","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","27.22"
"2013","Denmark","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","223.08"
"2013","Denmark","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","33.03"
"2013","Denmark","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","135.98"
"2013","Denmark","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","35.85"
"2013","Denmark","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","338.2"
"2013","Denmark","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","83.84"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","96.36"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","25.7"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","358.49"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","39.84"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","186.35"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","73.52"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","482.73"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","91.72"
"2013","Estonia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","11.67"
"2013","Estonia","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","5.26"
"2013","Estonia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","166.09"
"2013","Estonia","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","24.1"
"2013","Estonia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","29.67"
"2013","Estonia","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","15.82"
"2013","Estonia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","211.37"
"2013","Estonia","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","32.32"
"2013","Ireland","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","66.93"
"2013","Ireland","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","24.33"
"2013","Ireland","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","206.91"
"2013","Ireland","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","25.12"
"2013","Ireland","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","101.62"
"2013","Ireland","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","59.74"
"2013","Ireland","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","384.03"
"2013","Ireland","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per night","105.52"
"2013","Greece","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per trip","41.79"
"2013","Greece","Euro","Personal reasons","1 night or over","Domestic country","Total","Average expenditure per night","4.02"
"2013","Greece","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per trip","97.69"
"2013","Greece","Euro","Personal reasons","1 night or over","Outbound","Total","Average expenditure per night","7.03"
"2013","Greece","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per trip","69.26"
"2013","Greece","Euro","Professional, business","1 night or over","Domestic country","Total","Average expenditure per night","9.36"
"2013","Greece","Euro","Professional, business","1 night or over","Outbound","Total","Average expenditure per trip","265.47"
